YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2024,8,1,4,ABQ,MDW,0700,0657,-3.00,1045,1027,-18.00
2024,8,1,4,ABQ,MDW,1545,1613,28.00,1925,2000,35.00
2024,8,1,4,ABQ,ORD,1304,1312,8.00,1700,1707,7.00
2024,8,1,4,ABQ,ORD,1310,1351,41.00,1710,1746,36.00
2024,8,1,4,ALB,MDW,0520,0611,51.00,0630,0711,41.00
2024,8,1,4,ALB,MDW,1310,1313,3.00,1420,1413,-7.00
2024,8,1,4,ALB,MDW,2005,2048,43.00,2115,2223,68.00
2024,8,1,4,ALB,ORD,0615,0611,-4.00,0742,0737,-5.00
2024,8,1,4,ALB,ORD,1121,1120,-1.00,1248,1233,-15.00
2024,8,1,4,ALB,ORD,1713,1730,17.00,1840,1912,32.00
2024,8,1,4,ALB,ORD,1741,1731,-10.00,1910,1853,-17.00
2024,8,1,4,ANC,ORD,2105,2116,11.00,0617,0604,-13.00
2024,8,1,4,ANC,ORD,2145,2149,4.00,0655,0700,5.00
2024,8,1,4,ANC,ORD,2146,0022,156.00,0701,0903,122.00
2024,8,1,4,ANC,ORD,2355,2351,-4.00,0900,0910,10.00
2024,8,1,4,ANC,ORD,2359,2346,-13.00,0911,0845,-26.00
2024,8,1,4,ASE,ORD,0915,0934,19.00,1307,1320,13.00
2024,8,1,4,ASE,ORD,1217,1207,-10.00,1606,1616,10.00
2024,8,1,4,ATL,BMI,1425,1519,54.00,1510,1604,54.00
2024,8,1,4,ATL,BMI,2157,2157,0.00,2243,2246,3.00
2024,8,1,4,ATL,MDW,0540,0555,15.00,0645,0650,5.00
2024,8,1,4,ATL,MDW,0625,0626,1.00,0720,0712,-8.00
2024,8,1,4,ATL,MDW,0841,0836,-5.00,0938,0932,-6.00
2024,8,1,4,ATL,MDW,0925,0926,1.00,1020,1016,-4.00
2024,8,1,4,ATL,MDW,1050,1039,-11.00,1144,1133,-11.00
2024,8,1,4,ATL,MDW,1403,1356,-7.00,1457,1432,-25.00
2024,8,1,4,ATL,MDW,1425,1437,12.00,1520,1524,4.00
2024,8,1,4,ATL,MDW,1549,1625,36.00,1700,1729,29.00
2024,8,1,4,ATL,MDW,1700,1710,10.00,1800,1754,-6.00
2024,8,1,4,ATL,MDW,1708,1703,-5.00,1805,1748,-17.00
2024,8,1,4,ATL,MDW,1955,1950,-5.00,2050,2056,6.00
2024,8,1,4,ATL,MDW,2050,2045,-5.00,2146,2208,22.00
2024,8,1,4,ATL,MLI,1530,1525,-5.00,1630,1613,-17.00
2024,8,1,4,ATL,MLI,2132,2127,-5.00,2229,2220,-9.00
2024,8,1,4,ATL,ORD,0600,0554,-6.00,0710,0653,-17.00
2024,8,1,4,ATL,ORD,0600,0557,-3.00,0714,0703,-11.00
2024,8,1,4,ATL,ORD,0710,0734,24.00,0812,0827,15.00
2024,8,1,4,ATL,ORD,1010,1019,9.00,1112,1111,-1.00
2024,8,1,4,ATL,ORD,1020,1016,-4.00,1134,1116,-18.00
2024,8,1,4,ATL,ORD,1116,1108,-8.00,1235,1213,-22.00
2024,8,1,4,ATL,ORD,1250,1355,65.00,1403,1442,39.00
2024,8,1,4,ATL,ORD,1327,1325,-2.00,1432,1423,-9.00
2024,8,1,4,ATL,ORD,1530,1603,33.00,1651,1705,14.00
2024,8,1,4,ATL,ORD,1534,1532,-2.00,1643,1631,-12.00
2024,8,1,4,ATL,ORD,1735,1735,0.00,1847,1858,11.00
2024,8,1,4,ATL,ORD,1744,1937,113.00,1900,2134,154.00
2024,8,1,4,ATL,ORD,1815,1809,-6.00,1942,1954,12.00
