,Unnamed: 0,YEAR,MONTH,DAY,DAY_OF_WEEK,ORG_AIRPORT,DEST_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
1101,1101,2024,8,1,4,ORD,ABQ,950,949,-1,1158,1200,2
1102,1102,2024,8,1,4,ORD,ABQ,1005,1115,70,1216,1308,52
1103,1103,2024,8,1,4,ORD,ALB,710,718,8,1015,1023,8
1104,1104,2024,8,1,4,ORD,ALB,1215,1323,68,1518,1623,65
1105,1105,2024,8,1,4,ORD,ALB,1334,1338,4,1635,1633,-2
1106,1106,2024,8,1,4,ORD,ALB,1835,1853,18,2142,2214,32
1107,1107,2024,8,1,4,ORD,ANC,59,56,-3,430,455,25
1108,1108,2024,8,1,4,ORD,ANC,925,921,-4,1311,1304,-7
1109,1109,2024,8,1,4,ORD,ANC,1030,1025,-5,1410,1422,12
1110,1110,2024,8,1,4,ORD,ANC,1614,1626,12,1957,2013,16
1111,1111,2024,8,1,4,ORD,ANC,1705,1859,114,2046,2312,146
1112,1112,2024,8,1,4,ORD,ASE,1005,958,-7,1212,1226,14
1113,1113,2024,8,1,4,ORD,ASE,1945,2113,88,2145,2304,79
1114,1114,2024,8,1,4,ORD,ATL,600,559,-1,852,837,-15
1115,1115,2024,8,1,4,ORD,ATL,705,707,2,1000,948,-12
1116,1116,2024,8,1,4,ORD,ATL,710,709,-1,1014,1015,1
1117,1117,2024,8,1,4,ORD,ATL,810,921,71,1107,1207,60
1118,1118,2024,8,1,4,ORD,ATL,850,1004,74,1154,1259,65
1119,1119,2024,8,1,4,ORD,ATL,922,933,11,1217,1221,4
1120,1120,2024,8,1,4,ORD,ATL,1035,1044,9,1339,1342,3
1121,1121,2024,8,1,4,ORD,ATL,1222,1217,-5,1514,1507,-7
1122,1122,2024,8,1,4,ORD,ATL,1331,1330,-1,1621,1632,11
1123,1123,2024,8,1,4,ORD,ATL,1415,1415,0,1730,1729,-1
1124,1124,2024,8,1,4,ORD,ATL,1542,1559,17,1842,1854,12
1125,1125,2024,8,1,4,ORD,ATL,1636,1637,1,1936,1932,-4
1126,1126,2024,8,1,4,ORD,ATL,1753,938,945,2051,1237,946
1127,1127,2024,8,1,4,ORD,ATL,1845,2301,256,2154,212,258
1128,1128,2024,8,1,4,ORD,ATL,1849,1846,-3,2200,2209,9
1129,1129,2024,8,1,4,ORD,ATL,1959,2016,17,2259,2331,32
1130,1130,2024,8,1,4,ORD,ATL,2159,18,139,106,318,132
1131,1131,2024,8,1,4,ORD,ATW,1050,1039,-11,1202,1132,-30
1132,1132,2024,8,1,4,ORD,ATW,1545,1644,59,1656,1746,50
1133,1133,2024,8,1,4,ORD,ATW,1805,1815,10,1917,2035,78
1134,1134,2024,8,1,4,ORD,ATW,1940,2250,190,2052,2359,187
1135,1135,2024,8,1,4,ORD,AUS,720,824,64,1006,1059,53
1136,1136,2024,8,1,4,ORD,AUS,830,824,-6,1119,1103,-16
1137,1137,2024,8,1,4,ORD,AUS,915,916,1,1206,1204,-2
1138,1138,2024,8,1,4,ORD,AUS,1318,1314,-4,1558,1544,-14
1139,1139,2024,8,1,4,ORD,AUS,1335,1334,-1,1621,1621,0
1140,1140,2024,8,1,4,ORD,AUS,1600,1613,13,1840,1846,6
1141,1141,2024,8,1,4,ORD,AUS,1849,1845,-4,2148,2221,33
1142,1142,2024,8,1,4,ORD,AUS,1955,2303,188,2242,205,203
1143,1143,2024,8,1,4,ORD,AUS,2028,2032,4,2311,2339,28
1144,1144,2024,8,1,4,ORD,AVL,725,721,-4,1022,1041,19
1145,1145,2024,8,1,4,ORD,AVL,810,806,-4,1109,1055,-14
1146,1146,2024,8,1,4,ORD,AVL,1328,1333,5,1611,1622,11
1147,1147,2024,8,1,4,ORD,AVL,1412,1455,43,1708,1754,46
1148,1148,2024,8,1,4,ORD,AVL,1950,1949,-1,2246,2333,47
1149,1149,2024,8,1,4,ORD,AVP,1446,1437,-9,1738,1721,-17
1150,1150,2024,8,1,4,ORD,AVP,1842,1847,5,2151,2144,-7
1151,1151,2024,8,1,4,ORD,BDL,711,707,-4,1027,1012,-15
1152,1152,2024,8,1,4,ORD,BDL,844,842,-2,1202,1147,-15
1153,1153,2024,8,1,4,ORD,BDL,1100,1051,-9,1417,1401,-16
1154,1154,2024,8,1,4,ORD,BDL,1316,1313,-3,1621,1613,-8
1155,1155,2024,8,1,4,ORD,BDL,1818,1915,57,2133,2235,62
1156,1156,2024,8,1,4,ORD,BDL,1854,1902,8,2220,2201,-19
1157,1157,2024,8,1,4,ORD,BGR,1100,1058,-2,1443,1444,1
1158,1158,2024,8,1,4,ORD,BGR,1326,1323,-3,1655,1650,-5
1159,1159,2024,8,1,4,ORD,BIL,1000,958,-2,1216,1211,-5
1160,1160,2024,8,1,4,ORD,BNA,727,719,-8,911,912,1
1161,1161,2024,8,1,4,ORD,BNA,825,817,-8,1010,947,-23
