,YEAR,MONTH,DAY,DAY_OF_WEEK,ORG_AIRPORT,DEST_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
0,2024,8,1,4,ABQ,MDW,700,657.0,-3.0,1045,1027.0,-18.0
1,2024,8,1,4,ABQ,MDW,1545,1613.0,28.0,1925,2000.0,35.0
2,2024,8,1,4,ABQ,ORD,1304,1312.0,8.0,1700,1707.0,7.0
3,2024,8,1,4,ABQ,ORD,1310,1351.0,41.0,1710,1746.0,36.0
4,2024,8,1,4,ALB,MDW,520,611.0,51.0,630,711.0,41.0
5,2024,8,1,4,ALB,MDW,1310,1313.0,3.0,1420,1413.0,-7.0
6,2024,8,1,4,ALB,MDW,2005,2048.0,43.0,2115,2223.0,68.0
7,2024,8,1,4,ALB,ORD,615,611.0,-4.0,742,737.0,-5.0
8,2024,8,1,4,ALB,ORD,1121,1120.0,-1.0,1248,1233.0,-15.0
9,2024,8,1,4,ALB,ORD,1713,1730.0,17.0,1840,1912.0,32.0
10,2024,8,1,4,ALB,ORD,1741,1731.0,-10.0,1910,1853.0,-17.0
11,2024,8,1,4,ANC,ORD,2105,2116.0,11.0,617,604.0,-13.0
12,2024,8,1,4,ANC,ORD,2145,2149.0,4.0,655,700.0,5.0
13,2024,8,1,4,ANC,ORD,2146,22.0,156.0,701,903.0,122.0
14,2024,8,1,4,ANC,ORD,2355,2351.0,-4.0,900,910.0,10.0
15,2024,8,1,4,ANC,ORD,2359,2346.0,-13.0,911,845.0,-26.0
16,2024,8,1,4,ASE,ORD,915,934.0,19.0,1307,1320.0,13.0
17,2024,8,1,4,ASE,ORD,1217,1207.0,-10.0,1606,1616.0,10.0
18,2024,8,1,4,ATL,BMI,1425,1519.0,54.0,1510,1604.0,54.0
19,2024,8,1,4,ATL,BMI,2157,2157.0,0.0,2243,2246.0,3.0
20,2024,8,1,4,ATL,MDW,540,555.0,15.0,645,650.0,5.0
21,2024,8,1,4,ATL,MDW,625,626.0,1.0,720,712.0,-8.0
22,2024,8,1,4,ATL,MDW,841,836.0,-5.0,938,932.0,-6.0
23,2024,8,1,4,ATL,MDW,925,926.0,1.0,1020,1016.0,-4.0
